ID	KOR	ENG_US	MSPA	CFRE	BPO	SC_CHI	JPN	ENG_AU	ENG_UK	GER	FRE	ITA	SPA	POR	ROM	DUT	DAN	SWE	NOR	POL	CZE	SLK	RUS	UKR	SLN	CRO	BUL	GRE	FIN	HUN	TUR	ARA	Hindi	Bengali	Marathi	Telugu	Tamil	Gujarati	Kannada	Odia	Malayalam	Punjabi	TWN_CHI	Indonesian	PER	HEB
MMI-0412	지도 이동 시 현위치로 자동 복귀	Automatic Return after Scrolling	<N/A>	<N/A>	<N/A>	<N/A>			Automatic return after scrolling		Retour automatique après défilement																					رجوع إلى الخريطة												N/A	العودة التلقائية بعد التمرير	
MMI-0413	지도 표시 설정	Map Display	Mostrar Mapa	Afficher Carte	Tela do mapa	<N/A>			Map display		Affichage carte																					شاشة الخريطة												N/A	نمایش نقشه	
MMI-0414	지도 화면 EV 경로 표시	Show on the Map	Mostrar en el mapa	Afficher sur la carte	Exibir rota EV no mapa	地图界面显示 EV 路径	地図画面にEVルート表示	Show EV route on the map	Show EV route on the map	EV Route auf Karte zeigen	Afficher trajet en mode VE sur la carte	Mostra percorso EV su mappa	Mostrar ruta del VE en el mapa	Mostrar rota EV no mapa		EV-route op de kaart tonen	Vis EV-rute på kortet	Visa EV rutt på kartan	Vis EV-rute på kartet	Pokaż trasę EV na mapie	Zobrazit trasu EV na mapě	Zobraziť trasu EV na mape	Показать EV-маршрут на карте						Näytä EV-reitti kartalla	EV útvonal megjelenítése a térképen	Haritada EV rotasını göster	غرض مسار السيارة الكهربائية على الخريطة												Tampilkan di Peta	نمایش روی نقشه	הצג את מסלול EV על המפה
MMI-0415	지도 화면 내 음량 버튼	Use Map Screen Volume Buttons	Usar sólo los botones en la pantalla del mapa	Utiliser la touche du volume de la carte sur l'écran	Utilizar somente os botões da tela de mapas.	使用地图界面上的音量按钮	地図画面上の音量ボタン	Use map screen volume buttons	Map screen volume buttons	Tasten auf dem Kartenbildschirm	Touches volume sur l'écran Carte	Pulsanti volume in schermo Mappa	Botones en pantalla de mapas	Usar botões de volume no mapa		Volumetoetsen op kaartscherm	Lydstyrkeknapper på kortskærm	Kartskärmens volymknappar	Bruk volumknappene på kartskjermen	Użyj przycisków głośności na ekranie mapy	Hlasitost pomocí tlačítek na mapě	Tlačidlá hlasitosti na mape	Кнопки на экране с картой						Käytä karttanäytön äänipainikkeita	Térkép képernyő hangerőgombjai	Harita ekranı düğmeleri	استخدم أزرار مستوى الصوت على شاشة الخريطة												Gunakan Tombol Volume di Layar Peta	استفاده از دکمه‌های میزان صدا در صفحه نقشه	לחצני עוצמת הקול במסך המפה
MMI-0416	지도 화면 내 음량 버튼과 볼륨 노브	Use Map Screen Volume Buttons or Volume Knob	Usar botones de volumen en la pantalla del mapa, o la perilla de volumen	Utiliser la touche du volume sur l’écran de la carte ou le volume.	Utilizar as teclas de volume na tela de mapas ou o botão manual do volume.	使用地图界面上的音量按钮或音量旋钮	地図画面上の音量ボタンとボリュームノブ	Use map screen volume buttons or volume knob	Map screen buttons or volume knob	Tasten auf d. Karte oder Drehregler	Volume sur écran Carte ou bouton	Pulsanti Mappa o manopola	Botones en pantalla de mapas o dial	Botão giratório/botões de vol. mapa		Schermtoetsen of draaiknop	Lydstyrkeknapper el. volumenknap skærm	Kartskärmens volymknappar/vred	Tast på kartskjerm eller bruk volumbryter	Użyj przycisków głośności na ekranie mapy lub pokrętła głośności	Hlasitost pomocí tlačítek i knoflíku	Tlač. na mape alebo otoč. regulátor	Кнопки на экр. с картой или регулятор						Käytä kartan painikkeita tai säädintä	Térkép képer. hangerőg. v. tekerőg.	Harita ekranı düğmel. veya ses kadranı	استخدم زرَّي مستوى الصوت على شاشة الخريطة أو مفتاح مستوى الصوت												Gunakan Tombol Volume di Layar Peta atau Kenop Volume	استفاده از پیچ کنترل صدا یا دکمه‌های میزان صدا در صفحه نقشه	לחצני מסך המפה או לחצן עוצמת הקול
MMI-0417	지도 화면 내 음량 버튼과 조작 패널 볼륨 버튼	Use Map Screen Volume Buttons or Control Panel Volume Buttons	N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)	使用地图屏幕上的音量按钮或控制面板音量按钮	N/A	N/A(PIO - CH/IN Only)	Use Map Screen Volume Buttons or Control Panel Volume Buttons	N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)		N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)						N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)												N/A	N/A(PIO - CH/IN Only)	N/A(PIO - CH/IN Only)
MMI-0418	지도 확대/축소	Zooms In/Out on the Map	Acerca/aleja el mapa	Zoom avant/arrière sur la carte	Aproxima/afasta o mapa	放大/缩小地图	地図拡大/縮小	Zooms in/out on the map	Zooming in/out in the map	Vergrößern/Verkleinern der Karte	Zoom avant/arrière dans la carte	Zoom avanti/indietro nella mappa	Ampliar/reducir zoom en el mapa	Aumentar/diminuir o zoom do mapa		Op de kaart in-/uitzoomen	Zoome ind på/ud på kortet	Zooma in/ut på kartan	Zoome inn/ut på kartet	Przybliżanie/oddalanie mapy	Zvětšování/zmenšování mapy	Približovanie/vzďaľovanie na mape	Увеличение/уменьшение масштаба карты						Kartan lähennys/loitonnus	Térkép nagyítása/kicsinyítése	Haritayı yakınlaştırma/uzaklaştırma	لتكبير/تصغير الخريطة												Memperbesar/Memperkecil di Peta	بزرگنمایی/کوچکنمایی روی نقشه	זום הגדלה/הקטנה במפה
MMI-0419	지번 주소	Old	Anterior	Ancien	Antigo																																							N/A		
MMI-0420	차량	Vehicle	Vehículo	Véhicule	Veículo	车辆	車両	Vehicle	Vehicle	Fahrzeug	Véhicule	Veicolo	Vehículo	Veículo		Voertuig	Køretøj	Fordon	Kjøretøy	Pojazd	Vozidlo	Vozidlo	Автомобиль						Auto	Jármű	Araç	السيارة												Kendaraan	خودرو	רכב
MMI-0421	USB에서 등록 위치/최근 목적지 가져오기	Import Address Book/Previous Destinations from USB Device	Importar libreta de direcciones/destinos previos del USB	Importer le carnet d'adresses/les destinations précédentes de la clé USB	Importar catálogo de endereços/destinos anteriores a partir do USB	从 USB 中导入标注点	USBからメモリ地点、最近の目的地をインポート	Import address book/previous destinations from USB	Import address book/previous destinations from USB	Adressbuch von USB importieren	Importer le carnet d'adresses/les destinations précédentes depuis le périphérique USB	Importa rubrica da USB	Importar agenda del USB	Importar livro de endereços de USB		Adresboek importeren via USB	Importer adressebog fra USB	Importera adressbok från USB	Importer adressebok fra USB	Importuj książkę adresową z USB	Importovat adresář ze zařízení USB	Importovať adresár z USB	Импорт адресной книги с USB						Tuo osoitekirja USB:stä	Címlista importálása az USB-ről	Adres defterini USB'den aktar	استيراد دليل العناوين/ الوجهات السابقة من جهاز USB												N/A	<N/A>	ייבוא פנקס הכתובות מה- USB
MMI-0422	차량 속도 상시 표시	Show Vehicle Speed	Mostrar la velocidad del vehículo	Afficher la vitesse du véhicule	Exibir uma velocidade do veículo				Show a vehicle speed		Afficher vitesse véhicule																					عرض سرعة السيارة												N/A	نمایش سرعت یک وسیله نقلیه	
MMI-0423	차량 정보	Vehicle Information	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	<N/A>												N/A	<N/A>	<N/A>
MMI-0424	차량 진단	Vehicle Diagnostics	Diagnósticos del vehículo	Diagnostic du véhicule	N/A(KO/NA/CH Only)	车辆诊断	車両診断	Vehicle diagnostics	Vehicle diagnostics	Fahrzeugdiagnose	Diagnostic du véhicule	Diagnostica veicolo	Diagnóstico del vehículo	Diagnóstico do veículo		Voertuig-diagnose	Køretøjsfejl-finding	Fordons-diagnostik	Kjøretøy-diagnose	Diagnostyka pojazdu	Diagnostika vozidla	Diagnostika vozidla	Диагностика автомобиля						Auton diagnostiikka	Járműdiagnosztika	Araç teşhisi	N/A(KO/NA/CH Only)												Diagnostik Mobil	N/A(KO/NA/CH Only)	N/A(KO/US/CA/CH/IN Only)
MMI-0425	차로 안전	Lane Safety	Seguridad de carril	Sécurité de voie	Segurança na Faixa	车道安全	車線安全	Lane safety	Lane safety	Spursicherheit	Surveillance de file	Sicurezza in corsia	Seguridad de carril	Segurança na faixa		Rijbaanveiligheid	Vognbanesikkerhed	Körfältssäkerhet	Filsikkerhet	Bezpieczeństwo dot. pasa ruchu	Bezp. - jízda v pruhu	Bezpečnosť pre jazdné pruhy	Удержание полосы движения						Kaistaturvallisuus	Biztonságos sávtartás	Şerit güvenliği	أمان الحارة												Pendeteksi Jalur	ایمنی ماندن در بین خطوط	בטיחות נתיבים
MMI-0426	차로 유지 보조	Lane Following Assist	LFA (Asistencia seguimiento de carril)	LFA (Assistance de suivi de voie)	LFA (Assistente de manutenção na faixa)	LFA（车道跟踪辅助）	レーンキーピングアシスト	Lane Following Assist	LFA(Lane Following Assist)	LFA (Spurfolgeassistent)	LFA (ass. centre voie)	LFA (assistenza centraggio corsia)	LFA (asist. seg. carril)	LFA (Assistência a Seguimento na Via)		LFA (Lane Following Assist)	LFA (Følg vognbane)	LFA (Körfältsföljare)	LFA (filfølgerassistent)	LFA (asystent podążania pasem ruchu)	LFA (systém sledování pruhu)	LFA (Asistent jazdy v jazdnom pruhu)	LFA (Система слежения за полосой движения)						LFA (kaistanseuranta-avustin)	LFA (Sávkövetéssegítő)	LFA (Şerit Takip Yardımı)	المساعدة في الالتزام بالحارة المرورية (LFA)												Lane Following Assist	LFA (دستیار حرکت در بین خطوط)	מסייע מעקב נתיב(LFA)
MMI-0427	차로 이탈 경고	Lane Departure Warning	Alerta abandono carril	Alerte de franchissement involontaire de ligne	Aviso saída da faixa	LDW（车道偏离警告）		LDW (Lane Departure Warning)	LDW(Lane Departure Warn.)	LDW (Spurverlassenwarnung)	LDW (avertissement de changement de file)	LDW (sistema avviso uscita corsia)	LDW (aviso salida del carril)	LDW (Aviso de Afastamento da Via)		LDW (Lane Departure Warn.)	LDW (Forlad vognbane)	LDW (Vingelvarning)	LDW (varsel for filavvik)	LDW (ostrzeżenie o niezamierzonym opuszczeniu pasa ruchu)	LDW (upozornění na vybočení z pruhu)	LDW (Výstraha pri opustení jazdného pruhu)	LDW (Предупреждения о смене полосы движения)						LDW (varoitus kaistalta poistumisesta)	LDW (Sávelhagyásra figyelmeztetés)	LDW (Şeritten Ayrılma Uyarısı)	تحذير الخروج عن الحارة المرورية (LDW)												N/A	LDW (هشدار انحراف از بین خطوط)	אזהרת סטייה מנתיב(LDW)
MMI-0428	차로 이탈방지 보조	Lane Keeping Assist	Asist. mantenimiento carril	Assistance de maintien de voie	Assist. manutenção na faixa	LKA（车道保持辅助）		LKA (Lane Keeping Assist)	LKA(Lane Keeping Assist)	LKAS (Spurhalteassistent)	LKA (as. maintien voie)	LKA (aiuto mant. corsia)	LKA (asistencia mantener carril)	LKA (Assistência à Continuação na Via)		LKA (Lane Keeping Assist)	LKA (Hold vognbane)	LKA (Vingelassistans)	LKA (filholderassistent)	LKA (asystent utrzymywania pasa ruchu)	LKA (asist. dodržování jízdního pruhu)	LKA (Asistent zachovania jazdného pruhu)	LKA выкл. (система удерживания полосы)						LKAS (kaistanpitoavustin)	LKA (Sávtartássegítő)	LKA (Şeritte Kalma Asistanı)	المساعدة في الحفاظ على الحارة المرورية (LKA)												N/A	LKA (دستیار ماندن در بین خطوط)	מסייע שמירת נתיב(LKA)
MMI-0429	차선 음성 안내	Voice Guidance for Lane	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	<N/A>												N/A	<N/A>	<N/A>
MMI-0430	차속 연동 음량	Speed Dependent Volume Control	Volumen dependiente de la velocidad	Commande du volume en fonction de la vitesse	Volume dependente da velocidade	音量随速调节		Speed dependent volume control	Speed dependent volume control	Geschwindigkeitsabhängige Lautstärke	Ajuste le volume en fonction de la vitesse	Controllo volume in base alla velocità	Control volumen según velocidad.	Volume consoante velocidade.		Snelheidsafhankelijke volumeregeling	Hastighedsafhængig lysstyrke	Hastighetsberoende volymkontroll	Hastighetsavhengig volumkontroll	Głośność proporcjonalna do prędkości	Hlasitost v závislosti na rychlosti	Hlasitosť závislá od rýchlosti	Громкость зависит от скорости						Nopeuden mukaan säätyvä äänenvoim.	Sebességfüggő hangerő	Hıza bağlı ses düzeyi kontrolü.	مستوى الصوت حسب السرعة												N/A	کنترل صدای وابسته به سرعت	בקרת עוצמה כתלות במהירות
MMI-0431	차속 연동 자동 경고	Camera Alert Distance Depending on the Vehicle Speed	Distancia de alerta de cámara según la vel. del vehículo	Distance alerte caméra selon vitesse véhicule	Distância de alerta da câmera dependendo da velocidade do veículo				Camera alert distance depending on the speed limit		Distance d'alerte radar en fonction de la vitesse du véhicule																					مسافة تنبيه الكاميرا حسب سرعة المركبة												N/A	فاصله هشدار دوربین بر اساس سرعت وسیله نقلیه	
MMI-0432	창문 습기 방지	Defog/Defrost Options	Opciones de desempañado/descongelado	Options de désembuage/dégivrage	Opções de desembaçamento/ descongelamento	除雾/除霜选项	窓の結露防止	Defog/Defrost options	Defog/Defrost options	Entfeuchtungs-/Enteisungsoptionen	Options de désembuage/dégivrage	Opzioni di antiappannamento/sbrinamento	Opciones de desempañado/descongelado	Opções de desembaciamento/descongelamento		Opties ontwasemen/ontdooien	Afdugnings/afrimningsfunktioner	Alternativ för avimning/avfrostning	Alternativer for avdugging/avriming	Odparowywanie/odszranianie	Možnosti odmlžení/odmražení	Možnosti odhmlievania/odmrazovania	Опции обдува/оттаивания						Huurun-/huurteenpoistoasetukset	Páramentesítési/jégmentesítési opciók	Buğu giderme/Buz çözme seçenekleri	خيارات إزالة الضباب/الجليد												Opsi Defog/Defrost	گزینه‌های مه‌زدایی/یخ‌زدایی	אפשרויות הסרת אדים / הפשרה
MMI-0433	채널 검색	Search	Buscar	Recherche	Pesquisar	搜索	チャンネル検索	N/A(KO/CH/GEN Only)	Search	Suche	Recherche	Ricerca	Buscar	Pesquisar		Zoeken	Søg	Sök	Søk	Wyszukiwanie	Hledat	Hľadať	Поиск						Hae	Keresés	Ara	بحث												Cari	N/A(KO/CH/GEN Only)	חפש
MMI-0434	채널 목록 편집	Edit Channel List	Editar lista de canales	Modifier liste des canaux	Editar lista de canais	N/A(KO/Gen Only)	N/A(KO Only)	N/A(KO/Gen Only)	Manage channel	N/A(KO/Gen Only)	N/A(KO/Gen Only)	N/A(KO/Gen Only)	N/A(KO/Gen Only)	N/A(KO/Gen Only)		N/A(KO/Gen Only)	N/A(KO/Gen Only)	N/A(KO/Gen Only)	N/A(KO/Gen Only)	N/A(KO/Gen Only)	N/A(KO/Gen Only)	N/A(KO/Gen Only)	N/A(KO/Gen Only)						N/A(KO/Gen Only)	N/A(KO/Gen Only)	N/A(KO/Gen Only)	إدارة القنوات												N_/_A	N/A(KO/Gen Only)	N/A(KO/Gen Only)
MMI-0435	초기값	Center	Centrar	Centre	Centralizar	初始化	初期値	Centre	Centre	Zentrieren	Centrer	Accentra	Centro	Centrar		Centreren	Centrer	Centrera	Midten	Wyśrodkuj	Uprostřed	Vycentrovať	По центру						Keskitä	Középen	Merkez	الوسط												Atur ulang	مرکز	מרכז
MMI-0436	초기값	Reset	Restaurar	Réinitialiser	Restaurar	初始化	初期値	Default	Default	Standard	Par défaut	Predefinite	Predeterm.	Predefinido		Reset	Standard	Standard	Standard	Domyślne	Obnovit	Predvolené	По умолчанию						Oletus	Alapértel-mezett	Varsayılan	افتراضي												Atur ulang	پیش‌فرض	ברירת מחדל
MMI-0437	초기화	Reset	Restaurar	Réinitialiser	Restaurar	初始化	初期化	Default	Default	Standard	Par défaut	Predefinite	Predeterm.	Predefinido		Reset	Standard	Standard	Standard	Domyślne	Obnovit	Predvolené	По умолчанию						Oletus	Alapértel-mezett	Varsayılan	افتراضي												Atur ulang	پیش‌فرض	ברירת מחדל
MMI-0438	초기화	Default	Restaurar	Réinitialiser	Restaurar	初始化	リセット	Default	Default	Standard	Par défaut	Predefinite	Predeterm.	Predefinido		Reset	Standard	Standard	Standard	Domyślne	Obnovit	Predvolené	По умолчанию						Oletus	Alapértel-mezett	Varsayılan	افتراضي												Atur ulang	پیش‌فرض	ברירת מחדל
MMI-0439	최근 목적지	Previous Destinations	Destinos anteriores	Destinations Précédentes	Destinos anteriores	目的地历史	目的地履歴	Previous destinations	Previous destinations	Letzte Ziele	Destinations précédentes	Destinazioni precedenti	Destinos anteriores	Destinos anteriores		Vorige bestemmingen	Tidligere destinationer	Tidigare destinationer	Tidligere destinasjon	Poprzednie cele	Předchozí cíle	Posledné ciele	Предыдущие цели						Edelliset määränpäät	Korábbi úti célok	Önceki varış yerleri	الوجهات السابقة												N/A	<N/A>	יעדים מועדפים
MMI-0440	최근 목적지 설정	Previous Destinations Settings	Configuración de destinos anteriores	Paramètres destinations précédentes	Config. de destinos anteriores		目的地履歴の設定		Display previous destinations		Afficher destinations précédentes																					عرض الوجهات السابقة												N/A	نمایش مقصدهای قبلی	
MMI-0441	최근 목적지 저장	Save Previous Destinations	Guardar dest. anteriores	Sauvergarder destination précédente	Salvar destinos anteriores		目的地履歴の保存		Save previous destination		Enregistrer destinations précédentes																					حفظ الوجهات السابقة												N/A	ذخیره مقصدهای قبلی	
MMI-0442	등록 위치 추가	Add	Agregar	Ajouter	Adic.	添加	メモリ地点追加	Add	Add	Hinzufügen	Ajouter	Aggiungi	Añadir	Adicionar		Toevoegen	Tilføj	Lägg till	Tilføy	Dodaj	Přidat	Pridať	Добавить						Lisää	Hozzáadás	Ekle	إضافة												N/A	افزودن	הוסף
MMI-0443	충돌 경고	Warning Only	Solo advertencia	Avertissement seulement	Somente alerta	碰撞警告	衝突警告	Warning only	Warning only	Nur Warnung	Avertissement seul	Solo avviso	Sólo aviso	Apenas aviso		Alleen waarschuwing	Kun advarsel	Endast varning	Kun advarsel	Tylko ostrzeżenie	Pouhé upozornění	Len výstraha	Только предупреждение						Pelkkä varoitus	Csak figyelmeztetés	Yalnızca uyarı	التحذير فقط												Hanya Peringatan	فقط هشدار	אזהרה בלבד
MMI-0444	충돌방지 보조	Active Assist	Asistencia activa	Assistance active	Assistência ativa	防止碰撞辅助	衝突防止アシスト	Active Assist	Active assistance	Aktiver Assistent	Assistance active	Active Assist	Asistencia activa	Assistência ativa		Actieve ondersteuning	Aktiv assistance	Aktiv assistans	Aktiv assistanse	Aktywny asystent	Aktivní asistence	Aktívny asistent	Ассистент активен						Aktiivinen avustin	Aktív segítség	Etkin asistan	المساعد النشط												Active Assist	دستیار فعال	סיוע פעיל
MMI-0445	충전 관리	Charge Management	Gestión de recarga	Gestion de la recharge	Gerenciador de carga	充电管理	充電管理	Charge management	Charge management	Lade-management	Gestion de charge	Gestione carica	Gestión de carga	Gestão de carregamento		Oplaadbeheer	Opladnings-styring	Laddnings-hantering	Ladestyring	Zarz. ładow.akumulatora	Management nabíjení	Manažment nabíjania	Управление зарядкой						Lataushallinta	Töltéskezelés	Şarj yönetimi	إدارة الشحن												Pengelolaan Pengisian Daya	مدیریت شارژ	ניהול טעינה
MMI-0446	충전 목표 배터리량 설정	Max. % Charge	Carga máxima (%)	Recharge max. (%)	Carga máxima (%)	设置充电量	充電時の目標バッテリー量設定	Charging limit	Charging limit	Ladebegrenzung	Limite de rechargement	Limite di ricarica	Límite de carga	Limite de carregamento		Oplaadlimiet	Opladnings-grænse	Laddningsgräns	Ladegrense	Limit ładowania	Limit nabití	Limit na nabíjanie	Лимит заряда						Latausrajoitus	Töltési határszint	Şarj limiti	حدّ الشحن												Maks. Terisi %	وضعیت شارژ	מגבלת טעינה
MMI-0447	충전 설정	Charging Settings	Ajustes de recarga	Réglages de recharge	Ajustes de recarga	充电设置	充電設定	Charging settings	Charging settings	Lade-einstellungen	Paramètres de charge	Impostazioni ricarica	Ajustes de carga	Definições de carregamento		Oplaad-instellingen	Opladnings-indstillinger	Laddnings-inställningar	Lade-innstillinger	Ładowanie wg harmonogramu	Nastavení nabíjení	Nastavenia nabíjania	Установканастроек зарядки						Lataus-asetukset	Töltési beállítások	Şarj ayarları	إعدادات الشحن												Setelan Pengisian Daya	تنظیمات شارژ	הגדרות טעינה
MMI-0448	충전 전류	Charging Current	Corriente de recarga	Courant de recharge	Corrente de carga	充电电流	充電電流	Charging current	Charging current	Ladestrom	Courant de charge	Corrente di carica	Corriente de carga	Corrente de carga		Laadstroom	Ladestrøm	Laddström	Ladestrøm	Prąd ładowania	Nabíjecí proud	Nabíjací prúd	Зарядный ток						Latausvirta	Töltőáram	Şarj akımı	تيار الشحن												Arus Pengisian Daya	جریان شارژ کردن	זרם טעינה
MMI-0449	충전 커넥터 잠금 모드	Charging Connector Locking Mode	Modo de bloqueo del conector de carga	Mode de verrouillage du connecter de charge	Modo de travamento do conector de carregamento	充电连接器锁定模式	充電コネクタロックモード	Charging Connector Locking Mode	Charging connector locking mode	Verriegelungsmodus für Ladeanschluss	Mode de verrouillage du connecteur de charge	Modalità di blocco del connettore di ricarica	Modo de bloqueo del conector de carga	Modo de bloqueio do conector de carregamento		Vergrendelmodus voor oplaadconnector	Opladningsstik låst	Låsläge för laddkontakt	Låsemodus for ladekontakt	Tryb blokady złącza ładowania	Režim uzamčení nabíjecího konektoru	Režim uzamknutia konektora nabíjania	Режим блокировки разъема зарядки						Latausliittimen lukitustila	Töltőcsatlakozó rögzítési módja	Şarj konektörü kilitleme modu	وضع قفل موصل الشحن												Mode Penguncian Konektor Pengisian Daya	حالت قفل رابط شارژ	מצב נעילה של מחבר טעינה
MMI-0450	충전소 검색	List	Lista	Liste	Lista		充電ステーション検索																																					Cari Stasiun		
MMI-0451	취소	Cancel	Cancelar	Annuler	Cancelar	取消	キャンセル	Cancel	Cancel	Abbrechen	Annuler	Annulla	Cancelar	Cancelar		Annuleren	Annuller	Avbryt	Avbryt	Anuluj	Storno	Zrušiť	Отменить						Peruuta	Mégse	İptal	إلغاء												Batal	لغو	ביטול
MMI-0452	친환경차 고속도로 통행료 할인 등록	Add toll discount for eco-friendly vehicle																																										N/A		
MMI-0453	카드 키	Card Key	Llave de tarjeta NFC	Clé de carte de NFC	Chave de cartão NFC	NFC 卡密钥	カードキー	Card Key	Card Key	NFC-Kartenschlüssel	Carte clé	Codice scheda NFC	Clave de la tarjeta NFC	Chave de cartão NFC		NFC-kaartsleutel	NFC-kortnøgle	NFC-kortnyckel	NFC-kortnøkkel	Karta NFC	Klíč ve formě karty NFC	Kartový kľúč s funkciou NFC	Ключ-карта NFC						NFC-korttiavain	NFC-kártya kulcs	NFC Kartı Tuşu	مفتاح البطاقة الإلكترونية												Kunci Kartu	کلید کارتی NFC	מפתח כרטיס NFC
MMI-0454	카메라	Camera Type	Tipo de cámara	Type de caméra	Tipo de câmera		オービスタイプ																																					Kamera		
MMI-0455	카메라 경고 시점	Camera Alert Distance	Distancia de alerta de cámara	Distance de l’alerte de caméra	Distância/alerta de câmera		スピード警告通知時期		Camera alert distance		Distance alerte radar																					مسافة تنبيه الكاميرا												Jarak peringatan kamera	دوربین هشدار فاصله	
MMI-0456	카메라 설정	Camera Settings	Ajustes de cámara	Réglages caméra	Configurações de câmera	摄像头设置	カメラ設定	Camera settings	Camera settings	Kameraeinstellungen	Paramètres de la caméra	Impostazioni telecamera	Ajustes de cámara	Configurações da câmara		Camera-instellingen	Kameraindstillinger	Kamerainställningar	Kamerainnstillinger	Ustawienia kamery	Nastavení kamery	Nastavenia kamery	Настройки камеры						Kamera-asetukset	Kamerabeállítások	Kamera ayarları	إعدادات الكاميرا												Setelan Kamera	تنظیمات دوربین	הגדרות מצלמה
MMI-0457	카메라 안내	Camera Alert Settings	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>	Camera alert	<N/A>	Alerte de la caméra	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	تنبيه الكاميرا												N/A	هشدار دوربین	<N/A>
MMI-0458	카메라 안내	Camera Type	Tipo de cámara	Type de caméra	Tipo de câmera	<N/A>	カメラ	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	<N/A>												N/A	<N/A>	<N/A>
MMI-0459	카카오 장소 검색	Kakao Online Search	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A	Kakao search	Kakao search	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)		N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)						N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)												N/A	N/A (Korea Only)	N/A (Korea Only)
MMI-0460	카투홈	Car to Home	Car to Home	Car to Home	Car to Home	车家互联	N/A	Car to Home	Car to Home	Car to Home	Car to Home	Car to Home	Car to Home	Car to Home		Car to Home	Car to Home	Car to Home	Car to Home	Car to Home	Car-to-Home	Autom domov	Car to Home						Car to Home	Car to Home	Car to Home	من السيارة إلى المنزل												Mobil ke Rumah	N/A (KO/CH Only)	N/A (KO/CH Only)
MMI-0461	키보드	Keyboard	Teclado	Clavier	Teclado	键盘	キーボード	Keyboard	Keyboard	Tastatur	Clavier	Tastiera	Teclado	Teclado		Toetsenbord	Tastatur	Tangentbord	Tastatur	Klawiatura	Klávesnice	Klávesnica	Клавиатура						Näppäimistö	Billentyűzet	Klavye	لوحة المفاتيح												Keyboard	صفحه‌کلید	מקלדת
MMI-0462	타이어 공기압 단위	Tire Pressure	Presión de neumáticos	Pression des pneus	Pressão de ar dos pneus	胎压	タイヤ空気圧単位	Tyre pressure	Tyre pressure	Reifendruck	Pression des pneus	Pressione aria pneumatico	Unidad de presión de aire en neumáticos	Unidade de pressão de ar dos pneus		Bandenspanningunit	Enhed for dæklufttryk	Enhet för däcktryck	Lufttrykksenhet	Jednostka ciśnienia powietrza opony	Tlak pneumatik	Jednotka tlaku v pneumatikách	Единицы измерения давления в шинах						Rengaspaine	Abroncsnyomás mértékegysége	Lastik hava basıncı birimi	ضغط الإطارات												Tekanan Ban	فشار تایر	לחץ הצמיגים
MMI-0463	탐색 옵션	Route Options	Opciones de ruta	Options trajet	Opções de rota	N/A(PIO3.0 India only)	探索オプション	N/A(PIO3.0 India only)	Route options	N/A(PIO3.0 India only)	Options de l'itinéraire	N/A(PIO3.0 India only)	N/A(PIO3.0 India only)	N/A(PIO3.0 India only)		N/A(PIO3.0 India only)	N/A(PIO3.0 India only)	N/A(PIO3.0 India only)	N/A(PIO3.0 India only)	N/A(PIO3.0 India only)	N/A(PIO3.0 India only)	N/A(PIO3.0 India only)	N/A(PIO3.0 India only)						N/A(PIO3.0 India only)	N/A(PIO3.0 India only)	N/A(PIO3.0 India only)	خيارات المسار												N/A	گزینه‌های مسیر	N/A(PIO3.0 India only)
