ID	KOR	ENG_US	MSPA	CFRE	BPO	SC_CHI	JPN	ENG_AU	ENG_UK	GER	FRE	ITA	SPA	POR	ROM	DUT	DAN	SWE	NOR	POL	CZE	SLK	RUS	UKR	SLN	CRO	BUL	GRE	FIN	HUN	TUR	ARA	Hindi	Bengali	Marathi	Telugu	Tamil	Gujarati	Kannada	Odia	Malayalam	Punjabi	Chinese (Traditional, Taiwan)	Indonesian	Persian	Hebrew
MMI-0314	무선 충전 시스템	Wireless Charging System																																												
MMI-0315	액티브 사운드 설정	Active Sound Design	Diseño activo del sonido	Active Sound Design	Desenho ativo de som	主动音效设计	アクティブサウンドデザイン	Active sound design																																						
MMI-0316	후진 시 뒷유리 와이퍼 작동	Auto Rear Wiper (in R)	Limpiaparabrisas posterior automático (reversa)	Essuie-glace ar. auto (en R)	Limpador traseiro automático (ré)	倒车时后窗雨刮器自动启动	後退時リアワイパー作動	Auto rear wiper (reverse)	Auto rear wiper (reverse)																																					
MMI-0317	디지털 사이드 미러	Digital Side Mirrors	Espejo lateral digital	Miroir latéral numérique	Espelho digital lateral	数字后视镜	デジタルサイドミラー	Digital side mirror	Digital side mirror																																					
MMI-0318	자동 시동 끄기	Vehicle Auto-Shut Off	Apagado automático del vehículo	Arrêt automatique du véhicule	Desligamento automático do veículo	Vehicle Auto-Shut Off	車両電源自動停止	Vehicle auto-shutoff																																						
MMI-0319	실내 환기 알림	Cabin Ventilation Alert	Alerta de ventilación de cabina	Alerte ventilation cabine	Alerta de ventilação na cabine	室内通风提示	車室内換気通知	Cabin ventilation alert	Cabin ventilation alert	Alarm Innenraumluft	Alerte ventilation de l`habitacle	Avviso ventilazione all`interno del veicolo	Aviso de ventilación	Alarme do ar no habitáculo	Alertă ventilație habitaclu	Alarm binnenlucht	Alarm indeklima	Larm kupéluft	Varsel kupéluft	Alarm dla wentylacji w kabinie	Upozornění na nekvalitní vzduch	Výstraha k vetraniu kabíny	Оповещение об обдуве кабины	Оповіщення про вентиляцію кабіни	Alarm zraka v notranjosti	Alarm, unutarnja ventilacija	Предупреждение за вентилация в купето	Ειδοποίηση εξαερισμού καμπίνας	Ειδοποίηση εξαερισμού καμπίνας	Utastér szellőztetési üzenet	İç havalandırma uyarısı	تنبيه بشأن تهوئة المقطورة	केबिन वेंटिलेशन अलर्ट	কেবিনে বায়ু চলাচলের সতর্কতা	केबिन व्हेंटिलेशन चेतावणी	క్యాబిన్ వెంటిలేషన్ అలర్ట్‌	கேபின் காற்றோட்ட எச்சரிக்கை	કેબીન વેન્ટિલેશન ચેતવણી	ಕ್ಯಾಬಿನ್ ವೆಂಟಿಲೇಶನ್ ಅಲರ್ಟ್	କ୍ୟାବିନ ଭେଣ୍ଟିଲେସନ୍ ଆଲର୍ଟ	കാബിൻ വെന്‍റിലേഷൻ സൂചന	ਕੈਬਿਨ ਹਵਾਦਾਰੀ ਚਿਤਾਵਨੀ	車內通風警示	Peringatan Ventilasi Kabin	Cabin Ventilation Alert	התרעת אוורור תא נוסעים
MMI-0320	차량 속도	Vehicle Speed																																												
MMI-0321	주변 교통정보	Display Traffic Info							Traffic info		Infos trafic																					معلومات حركة المرور														
MMI-0322	경로선 교통정보	Show Traffic Colors																																												
MMI-0323	주소	Address Format																																												
MMI-0324	유가	Fuel Price Info							Fuel prices	Kraftstoffpreis.	Prix carburant	Prezzi carbur.	Precios comb.	Preços comb.		Brandstofprijz.	Brændstofpr.	Bränslepriser	Drivstoffpriser	Ceny paliwa	Ceny paliv	Ceny paliva	Цена топлива	Ціна пального	Cene goriva			Τιμές καυσίμ.	Τιμές καυσίμ.	Üzemanyagár	Akary. fiyatları	أسعار الوقود	ईंधन की कीमतें											Harga Bahan Bakar	قیمت‌های سوخت	מחירי דלק
MMI-0325	상세 안내	Detailed Guidance																																												
MMI-0326	안내 위치 확대도	Detailed Guidance View																																												
MMI-0327	경로 탐색 옵션	Route Options	Opciones de ruta	Options d'itinéraire	Opções de rota	路线选项	経路探索オプション	Route Options	Route Options	Routenoptionen	Options de l'itinéraire	Opzioni percorso	Opciones de ruta	Opções de percurso	Opțiuni rută	Routeopties	Rute- muligheder	Ruttalternativ	Routenoptionen	Opcje trasy	Možnosti trasy	Možnosti trasy	Варианты маршрута	Параметри маршруту	Možnosti poti	Mogućn. rute	Опции за маршрут	Επιλογές διαδρομής	Επιλογές διαδρομής	Útvonalopciók	Rota Seçenekleri	خيارات المسار	रास्तों के विकल्प	Route Options	Route Options	Route Options	Route Options	Route Options	Route Options	Route Options	Route Options	Route Options	路線選項	Opsi Rute	گزینه‌های مسیر	אפשר' מסלול
MMI-0328	잔여 거리 안내	Set Type of Guide Distance																																												
MMI-0329	구간 별 거리	Interval Distance																																												
MMI-0330	합산 거리	Cumulative Distance																																												
MMI-0331	내비게이션 음성 안내	Navigation Voice Guidance	Guía de voz de navegación	Guidage vocal de navigation	Navegação com orientação por voz	语音导航提示	ナビゲーション音声ガイダンス	Navigation voice guidance	Navigation voice guidance	Sprachführung der Navigation	Guidage vocal navigation	Indicazioni vocali navigazione	Guía de voz para navegación	Orientação de voz na navegação	Îndrumări vocale navigație	Navigatie-spraakbegeleiding	Navigations-stemmevejledning	Röstvägledning för navigation	Taleveiledning navigasjon	Polecenia głosowe nawigacji	Hlasové výstupy navigace	Hlasové navádzanie navigácie	Голосовые подсказки навигации	Голосові підказки навігації	Glasovno vodenje navigacije	Glasovno navođenje navigatora	Гласови указания навигация	Φωνητική καθοδήγηση πλοήγησης	Φωνητική καθοδήγηση πλοήγησης	Hangos navigációs útmutatás	Navigasyon sesli rehberlik	الإرشاد الصوتي لنظام الملاحة	नेविगेशन वॉइस मार्गदर्शन	Navigation Voice Guidance	Navigation Voice Guidance	Navigation Voice Guidance	Navigation Voice Guidance	Navigation Voice Guidance	Navigation Voice Guidance	Navigation Voice Guidance	Navigation Voice Guidance	Navigation Voice Guidance	導航語音指引	Panduan suara navigasi	راهنمای صوتی ناوبری	הכוונה קולית בניווט
MMI-0332	버스 전용 차로 이용 가능 안내	Bus Lane Availability Display																																												
MMI-0333	목적지 주변 음성 안내 종료	End Navigation Voice Guidance Near Destination							Mute voice guidance nearby destination		Désactiver le guidage vocal à proximité de la destination																					كتم صوت الملاحة عند الإقتراب من الوجهة														
MMI-0334	정차 중 전체 경로 안내	Show Route Overview While Stopped																																												
MMI-0335	하이패스 톨게이트 사용	Use hi-pass tollgates																																												
MMI-0336	친환경차 고속도로 통행료 할인 등록	Add toll discount for eco-friendly vehicle																																												
MMI-0337	부주의 운전 시 휴식 안내	Inform Rest Stop upon irregular driving pattern detected																																												
MMI-0338	어린이 보호구역 가급적 회피	Preferably Avoid School Zone																																												
MMI-0339	최근 목적지 안내	Previous Destinations Settings																																												
MMI-0340	최근 목적지 저장	Save Previous Destinations							Save previous destinations		Enregistrer les destinations précédentes																					حفظ الوجهات السابقة														
MMI-0341	내비게이션 시작 시 팝업 표시	Show Previous Destinations after Navigation Start-up																																												
MMI-0342	목적지 자동 추천	Recommended Destinations																																												
MMI-0343	카메라 경고 시점	Camera Alert Distance							Camera alert settings		Paramètres des alertes radar																					إعدادات تنبيه الكاميرا														
MMI-0344	카메라	Camera Type							Camera	Kamera	Camera	Telecamera	Cámara	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera	Camera
MMI-0345	주의 구간	Safety Alerts							Safety alerts		Alerte de sécurité																					تنبيه السلامة														
MMI-0346	과속 시 실내 무드 조명 연동	Ambient Light Speed Alert																																												
MMI-0347	지도 모드	Map Mode							Map mode		Mode carte																					وضع الخريطة														
MMI-0348	지도 뷰	Map View							Map view		Vue de la carte																					طريقة عرض الخريطة														
MMI-0349	지도 고정 2D	North Up 2D							2D North up		2D Nord ↑																					عرض الشمال في الأعلى 2D														
MMI-0350	주행 방향 2D	Heading Up 2D							2D Heading up		2D direction ↑																					عرض الإتجاه في الأعلى 2D														
MMI-0351	주행 방향 3D	Heading Up 3D							3D Heading up		3D direction ↑																					عرض الإتجاه في الأعلى 3D														
MMI-0352	3D 건물	3D Buildings							3D buildings		Bâtiments en 3D																					مبانٍ ثلاثية الأبعاد														
MMI-0353	자동 축척 조절	Auto-Scale							Auto zoom		Ajustement automatique																					تكبير/تصغير تلقائي														
MMI-0354	지도 글씨 크기	Map Font Size							Map font size		Taille de police carte																					حجم الخط على الخريطة														
MMI-0355	주간 지도 색상 테마	Daytime Map Color							Daytime map colour		Couleur carte (mode jour)																					ألوان الخريطة خلال النهار														
MMI-0356	내 차 아이콘	Vehicle Symbol																																												
MMI-0357	지도 자동 축척 설정	Set Map Auto-scale							Auto zoom settings		Param. zoom auto.																					التكبير/التصغير التلقائي														
MMI-0358	현 위치 자동 복귀	Auto Re-center Map							Automatic return after scrolling		Recentrage automatique de la carte																					إعادة تركيز الخريطة تلقائيًا														
MMI-0359	지도 화면 자동 복귀	Return to map: Timing							Return to Map: Timing		Return to map   Retour à la carte																					العودة إلى الخريطة														
MMI-0360	사용자 데이터	My Data																																												
MMI-0361	USB에서 등록 지점/최근 목적지 가져오기	Import Saved Places/Previous Destinations from USB Device																																												
MMI-0362	USB로 등록 지점/최근 목적지 내보내기	Export Saved Places/Previous Destinations to USB Device																																												
MMI-0363	사운드	Sound	Sonido	Son	Som	声音	サウンド	Sound	Sound	Sound	Son	Audio	Sonido	Som	Sunet	Geluid	Lyd	Ljud	Lyd	Dźwięk	Zvuk	Zvuk	Звук	Звук	Zvok	Zvuk	Звук	Ήχος	Ήχος	Hang	Ses	الصوت	ध्वनि	শব্দ	ध्वनी	సౌండ్	ஒலி	ધ્વનિ	ಸೌಂಡ್	ଧ୍ଵନି	ശബ്‌ദം	ਧੁਨੀ	聲音	Suara	Sound	צליל
MMI-0364	비프음	Beep	Bip	Bip	Toque	按键音	ビープ（ピー）音	Beep	Beep	Tastenton	Son des touches	Bip	Tono	Som do botão	Beep	Pieptoon	Bip	Pipljud	Pip	Dźwięki klawiszy	Pípnutí	Zvuk tlačidiel	Звуковой сигнал	Звуковий сигнал	Zvočni signal	Beep	Beep	Ηχητικό σήμα	Ηχητικό σήμα	Sípolás	Tuş sesi	الصفير	बीप	Beep	Beep	Beep	Beep	Beep	Beep	Beep	Beep	Beep	Beep	Bip	بوق	צפצוף
MMI-0365	속도 연동 음량	Speed Dependent Volume Control	Volumen dependiente de la velocidad	Contrôle de volume dépendant de la vitesse	Volume relativo à velocidade.	音量随速调节	速度対応の音量	Speed dependent volume control	Speed dependent volume control	Geschwindigkeits-abhängige Lautstärke	Ajuste le volume en fonction de la vitesse	Controllo volume in base alla velocità	Control de volumen según velocidad	Volume consoante a velocidade	Speed Dependent Volume Control	Snelheidsafhankelijke volumeregeling	Hastighedsafhængig lydstyrke	Hastighetsberoende volymkontroll	Hastighetsavhengig volumkontroll	Głośność proporcjonalna do prędkości	Hlasitost v závislosti na rychlosti	Hlasitosť závislá od rýchlosti	Зависимость громкости от скорости	Керування гучністю залежно від швидкості	Glasnost glede na hitrost	Speed Dependent Volume Control	Speed Dependent Volume Control	Ένταση ήχου βάσει ταχύτητας	Ένταση ήχου βάσει ταχύτητας	Sebességfüggő hangerő	Hıza bağlı ses düzeyi kontrolü	مستوى الصوت حسب السرعة	गति आधारित वॉल्यूम नियंत्रण	Speed Dependent Volume Control	Speed Dependent Volume Control	Speed Dependent Volume Control	Speed Dependent Volume Control	Speed Dependent Volume Control	Speed Dependent Volume Control	Speed Dependent Volume Control	Speed Dependent Volume Control	Speed Dependent Volume Control	Speed Dependent Volume Control	Kontrol Volume Sesuai Kecepatan	کنترل صدای وابسته به سرعت	בקרת עוצמת קול בהתאם למהירות
MMI-0366	오디오 음량 자동 줄이기	Start-up Max. Vol. Limit	Limitar volumen al encender	Limiter le volume au démarrage	Limitar o volume ao ligar	启动最大音量限制	始動時の最大音量制限	Volume limitation on start-up	Volume limitation on start-up																																					
MMI-0367	안내 음량	Guidance Volumes	Volumen de indicaciones	Volumes de guidage	Volumes de orientação	指南音量	案内音量	Guidance volumes	Guidance volumes	Lautstärken der Anweisungen	Volume des instructions vocales	Volumi indicazioni	Volúmenes de guía	Volume das instruções	Guidance Volumes	Volume van spraakaanwijzingen	Vejledning for lydstyrker	Volym för vägledning	Volum på veiledning	Głośności poleceń	Hlasitost pokynů	Hlasitosť pokynov	Громкость подсказок	Guidance Volumes	Guidance Volumes	Guidance Volumes	Guidance Volumes	Guidance Volumes	Guidance Volumes	Az útmutatások hangereje	Komutların ses düzeyi	مستوى صوت الإرشاد	मार्गदर्शन मात्रा	Guidance Volumes	Guidance Volumes	Guidance Volumes	Guidance Volumes	Guidance Volumes	Guidance Volumes	Guidance Volumes	Guidance Volumes	Guidance Volumes	Guidance Volumes	Volume Pemandu	میزان صدای راهنما	עוצמות ההנחיות
MMI-0368	음성 변경	Voice Type	Tipo de voz	Type de voix	Tipo de voz	语音类型	音声の変更	Voice type	Voice type	Stimmtyp	Type de voix	Tipo di voce	Tipo de voz	Tipo de voz	Voice Type	Stemtype	Stemmetype	Rösttyp	Stemmetype	Typ głosu	Typ hlasu	Typ hlasu	Тип голоса	Тип голосу	Vrsta glasu	Voice Type	Voice Type	Τύπος φωνής	Τύπος φωνής	Hangtípus	Ses türü	نوع الصوت	वॉयस का प्रकार	Voice Type	Voice Type	Voice Type	Voice Type	Voice Type	Voice Type	Voice Type	Voice Type	Voice Type	Voice Type	Tipe Suara	نوع صدا	סוג קול
MMI-0369	하이패스 결제 금액 안내	Display Additional hi-pass Payment Information																																												
MMI-0370	내비게이션 경고	Navigation Alert							Navigation alerts	Navigationswarnungen	Alertes de la navigation	Avvisi di navigazione	Alertas de navegación	Alertas de navegação	Alerte navigație	Navigatiemeldingen	Navigationsadvarsler	Navigationsvarningar	Navigasjonsvarsler	Alerty nawigacji	Upozorňování při navigaci	Upozornenia navigácie	Оповещения навигации	Навігаційні сповіщення	Opozorila navigacije	Upozorenja navigatora	Предупреждения за навигация	Ειδοποιήσεις πλοήγησης	Ειδοποιήσεις πλοήγησης	Navigációs figyelmeztetések	Navigasyon uyarıları	تنبيهات نظام الملاحة	Navigation Alerts	Navigation Alerts	Navigation Alerts	Navigation Alerts	Navigation Alerts	Navigation Alerts	Navigation Alerts	Navigation Alerts	Navigation Alerts	Navigation Alerts	Navigation Alerts	Navigation Alerts	Navigation Alerts	Navigation Alerts
MMI-0371	제한속도 연동 경고	Camera Alert Distance Depending on the Speed Limit																																												
MMI-0372	통화 중 내비게이션 안내	Navigation During Calls	Navegación durante llamadas	Navigation pendant les appels	Navegação durante chamadas	在通话期间导航	通話中のナビゲーション	Navigation during phone calls	Navigation during phone calls																																					
MMI-0373	내비게이션 안내 음성 일시정지	Mute Navigation Guidance	Silenciar guía de navegación	Mettre en sourdine guidage Navigation	Silenciar orientação de navegação	导航指引静音	消音ナビゲーションガイダンス	Mute navigation guidance	Mute navigation guidance	Navigationsanweisungen stummschalten	Navigation en mode muet	Disattiva navigazione vocale	Silenciar la guía de navegación	Silenciar orientação de navegação	Mute Navigation Guidance	Navigatiebegeleiding dempen	Sæt navigation på lydløs.	Stäng av navigationsvägledning	Slå av lyden	Wycisz nawigację	Ztlumit pokyny navigace	Stlmiť zvuk navigácie	Выключить звук голосовых подсказок	Вимкнути звук голосових підказок	Izklop zvoka navigacijskega vodenja	Mute Navigation Guidance	Mute Navigation Guidance	Σίγαση οδηγιών πλοήγησης	Σίγαση οδηγιών πλοήγησης	Navigációs útmutatás némítása	Navigasyon rehberliğinin sesini kapat	كتم صوت إرشادات الملاحة	नेविगेशन मार्गदर्शन म्यूट करें।	Mute Navigation Guidance	Mute Navigation Guidance	Mute Navigation Guidance	Mute Navigation Guidance	Mute Navigation Guidance	Mute Navigation Guidance	Mute Navigation Guidance	Mute Navigation Guidance	Mute Navigation Guidance	Mute Navigation Guidance	Bisukan Panduan Navigasi	بی‌صدا کردن هدایت ناوبری	השתק הנחיות ניווט
MMI-0374	날씨 브리핑	Weather Briefing	Informe del clima	Bulletin météo	Informações sobre previsão do tempo	天气信息简报	気象情報のご案内	Weather information briefing	Weather information briefing																																					
MMI-0375	통화 중 하이패스 안내	hi-pass guidance while on the phone																																												
MMI-0376	주차 안전 우선	Parking Safety Priority	Prioridad de seguridad de estacionamiento	Priorité de sécurité de stationnement	Prioridade de segurança do estacionamento	泊车安全优先	駐車安全優先	Parking safety priority	Parking safety priority	Priorität für Parksicherheit	Priorité à la sécurité du stationnement	Priorità sicurezza parcheggio	Prioridad de seguridad en estacionamiento	Prioridade de segurança de estacionamento	Prioritate: siguranța la parcare	Veiligheidsprioriteit bij parkeren	Parkeringssikkerhedsprioritering	Prioritet för parkeringssäkerhet	Prioritet for parkeringssikkerhet	Priorytet bezpieczeństwa parkowania	Priorita bezpečného parkování	Priorita bezpečnosti pri parkovaní	Приоритет системы безопасности при парковке	Пріоритет безпечного паркування	Prioriteta varnosti med parkiranjem	Prioritet za sigurnost parkiranja	Приоритет за безопасно паркиране	Προτεραιότητα ασφάλειας στάθμευσης	Προτεραιότητα ασφάλειας στάθμευσης	Parkolási biztonság prioritása	Park güvenliği önceliği	الأولوية للسلامة عند الركن	पार्किंग सुरक्षा प्राथमिकता	পার্কিং সুরক্ষায় অগ্রাধিকার	पार्किंग सुरक्षा प्राधान्य	పార్కింగ్ సేఫ్టీ ప్రాధాన్యత	பார்க்கிங் பாதுகாப்பு முன்னுரிமை	પાર્કિંગ સલામતી પ્રાધાન્યતા	ಪಾರ್ಕಿಂಗ್ ಸುರಕ್ಷತೆ ಆದ್ಯತೆ	ପାର୍କିଂ ସୁରକ୍ଷା ଅଗ୍ରାଧିକାର	പാർക്കിംഗ് സുരക്ഷാ മുൻഗണന	ਪਾਰਕਿੰਗ ਸੁਰੱਖਿਆ ਤਰਜੀਹ	停車安全優先性	Prioritas Pendeteksi Parkir	اولویت با ایمنی پارک	תעדוף בטיחות חניה
MMI-0377	기기																																													
MMI-0378	메시지 수신 알림	Message Notification	Notificación de mensajes	Notification message	Notificação de mensagens	消息通知	メッセージ通知	Message notification	Message notification	Nachrichtenbenachrichtigung	Notification de message	Notifica messaggio	Notificación de mensaje	Notificação de mensagem	Message Notification	Berichtmeldingen	Beskedmeddelelse	Meddelandeavisering	Meldingsvarsel	Powiadomienia o wiadomościach	Oznamování zpráv	Upozornenie na správu	Уведомление о сообщении	Сповіщення про повідомлення	Obvestila o sporočilih	Message Notification	Message Notification	Ειδοποίηση μηνύματος	Ειδοποίηση μηνύματος	Üzenetértesítés	Mesaj bildirimi	إخطار ورود رسالة	संदेश अधिसूचना	Message Notification	Message Notification	Message Notification	Message Notification	Message Notification	Message Notification	Message Notification	Message Notification	Message Notification	Message Notification	Notifikasi Pesan	اعلان پیام	התראת הודעה
MMI-0379	메시지 수신 필터 설정	Message Filter Settings	Ajust. filtros de mensajes	Réglages de filtrage messages	Config. filtro de mensagens	消息过滤器设置	メッセージ・フィルター設定	Message filter settings	Message filter settings	Nachrichtenfiltereinstell.	Param. filtre messages	Impostaz. filtro messaggi	Ajustes de filtro	Defin. de filtragem de msg.		Instellingen berichtenfilter	Indstillinger beskedfilter	Filterinställn. meddelanden	Innst. for meldingsfilter	Ustaw. filtra wiadomości	Nastavení filtrování zpráv	Nastavenia pre filter správ	Настройки фильтра сообщ	Налашт-ня фільтра повід.	Nastavitve filtra sporočil			Ρυθμ. φίλτρου μηνυμάτων	Ρυθμ. φίλτρου μηνυμάτων	Üzenetszűrő beállításai	Mesaj filtresi ayarları	إعدادات عامل تصفية الرسائل	संदेश फ़िल्टर सेटिंग्स											Setelan Filter Pesan	تنظیمات فیلتر پیام	הגדרות מסנן ההודעות
MMI-0380	프라이버시 모드	Privacy Mode	Modo privacidad	Mode sécurisé	Modo privacidade	隐私模式	プライバシーモード	Privacy mode	Privacy mode	Privater Modus	Mode privé	Modalità privata	Modo privacidad	Modo privado	Mod confidențial	Privémodus	Privatmodus	Sekretessläge	Privatmodus	Tryb prywatny	Soukromý režim	Režim súkromia	Режим "Private"	Приват. режим	Zasebni način	Privatni režim	Реж. на поверит.	Λειτ. απορρήτου	Λειτ. απορρήτου	Privát üzemmód	Gizlilik modu	وضع الخصوصية	Privacy Mode	Privacy Mode	Privacy Mode	Privacy Mode	Privacy Mode	Privacy Mode	Privacy Mode	Privacy Mode	Privacy Mode	Privacy Mode	Privacy Mode	Privacy Mode	Privacy Mode	Privacy Mode
MMI-0381	시스템 블루투스 정보	Bluetooth System Info	Inf. del sistema Bluetooth	Info du système Bluetooth	Inform. do Sistema Bluetooth	蓝牙系统信息	ブルートゥースシステムの情報	Bluetooth system info	Bluetooth system info	Bluetooth-Systeminfo	Infos fonction Bluetooth	Info sistema Bluetooth	Información de Bluetooth	Infos. do sistema Bluetooth	Bluetooth System Info	Bluetooth-systeeminfo	Bluetooth systeminfo	Bluetooth systeminform.	Bluetooth-systeminfo	Inf. systemowe Bluetooth	Info o systému Bluetooth	Info o systéme Bluetooth	Сист. информ-ия Bluetooth	Сист. інформація Bluetooth	Info sistema Bluetooth	Bluetooth System Info	Bluetooth System Info	Πληροφ. συστήμ. Bluetooth	Πληροφ. συστήμ. Bluetooth	Bluetooth rendszerinfó	Bluetooth sistem bilgisi	معلومات نظام البلوتوث	ब्लूटूथ सिस्टम की जानकारी	Bluetooth System Info	Bluetooth System Info	Bluetooth System Info	Bluetooth System Info	Bluetooth System Info	Bluetooth System Info	Bluetooth System Info	Bluetooth System Info	Bluetooth System Info	Bluetooth System Info	Info Sistem Bluetooth	اطلاعات سیستم بلوتوث	פרטי מערכת ה-Bluetooth
MMI-0382	이름	Name	Nombre	Nom	Nome	名字	Name	Name	Name	Name	Nom	Nome	Nombre	Nome	Name	Naam	Navn	Namn	Navn	Imię	Jméno	Meno	Имя	Ім'я	Ime	Name	Name	Όνομα	Όνομα	Név	Ad	الإسم	नाम	Name	Name	Name	Name	Name	Name	Name	Name	Name	Name	Nama	نام	שם
MMI-0383	프로필 이미지	Profile Image	Imagen del perfil	Image du profil	Imagem do perfil	账户头像	Profile Image	Profile image	Profile image	Profilbild	Image du profil	Immagine profilo	Imagen de perfil	Imagem do perfil	Profile Image	Profielfoto	Profilbillede	Profilbild	Profilbilde	Zdjęcie profilowe	Profilová fotografie	Profilová fotografia	Изображения профиля	Зображення профілю	Slika profila	Profile Image	Profile Image	Εικόνα προφίλ	Εικόνα προφίλ	Profilkép	Profil resmi	صورة صفحة التعريف	प्रोफाइल छवि	Profile Image	Profile Image	Profile Image	Profile Image	Profile Image	Profile Image	Profile Image	Profile Image	Profile Image	Profile Image	Gambar Profil	تصویر نمایه	תמונת פרופיל
MMI-0384	보안	Security	Segurid.	Sécurité	Seguran.	安全	セキュリティー	Security	Security	Sicherhei.	Sécurité	Protez.	Segurid.	Segur.	Security	Beveilig.	Sikkerh.	Säkerhet	Sikkerhet	Bezpiecz.	Ochrana	Zabezp.	Безоп-ть	Безпека	Varnost	Security	Security	Ασφάλεια	Ασφάλεια	Biztonság	Güvenlik	الأمان	सुरक्षा	Security	Security	Security	Security	Security	Security	Security	Security	Security	Security	Keamanan	امنیت	אבטחה
MMI-0385	블루링크 계정	Bluelink Account																																												
MMI-0386	백업 파일 불러오기	Download Backup File	Descargar archivo de respaldo	Télécharger le fichier de sauvegarde	Baixar o arquivo de Backup	下载备份文件	バックアップファイルのダウンロード	Download backup file	Download backup file	Backup-Datei herunterladen	Télécharger le fichier de sauvegarde	Scarica il file di back up	Descargar copia de seguridad	Transferir ficheiro de cópia de segurança	Download Backup File	Download back-upbestand	Download backup-fil	Ladda ner backup-fil	Last ned sikkerhetskopifil	Pobierz plik kopii zapasowej	Stáhnout zazálohovaný soubor	Stiahnuť záložný súbor	Скачать файл с данными резервного копирования	Скачати файл з даними резервного копіювання	Prenos datoteke varnostne kopije	Download Backup File	Download Backup File	Καταφόρτωση αρχείου αντιγράφου ασφαλείας	Καταφόρτωση αρχείου αντιγράφου ασφαλείας	A biztonsági másolat fájljának letöltése	Yedekleme dosyasını indir	تنزيل ملف النسخة الإحتياطية	बैकअप फ़ाइल डाउनलोड करें।	Download Backup File	Download Backup File	Download Backup File	Download Backup File	Download Backup File	Download Backup File	Download Backup File	Download Backup File	Download Backup File	Download Backup File	Unduh File Cadangan	دانلود فایل پشتیبان	הורד קובץ גיבוי
MMI-0387	디지털 키 연동(스마트폰)	Link Digital key (smartphone)	Link Digital Key (Smartphone)	Link Digital Key (Smartphone)	Link Digital Key (Smartphone)	Link Digital Key (Smartphone)	Link Digital Key (Smartphone)	Link Digital Key (Smartphone)	Digital key (smartphone)																																					
MMI-0388	음성인식	Voice Recognition	Reconocimiento de voz	Reconnaissance vocale	Sistema de Reconhecimento de Fala	Voice Recognition	音声認識	Voice Recognition	Voice recognition guidance																																					
MMI-0389	카카오 프렌즈	Kakao Friends																																												
MMI-0390	음성인식 설정	Voice Recognition Settings	Ajustes de Reconocimiento de voz	Réglages Reconnaissance vocale	Configurações do reconhecimento de voz	语音识别设置	音声認識の設定	Voice recognition settings	Voice recognition settings	Spracherkennungseinstellungen	Paramètres de la reconnaissance vocale	Impostazioni riconoscimento vocale	Ajustes de reconocimiento de voz	Definições de reconhecimento de voz	Voice Recognition Settings	Instellingen voor spraakherkenning	Indstillinger stemmegenkendelse	Inställningar för röstigenkänning	Innstillinger for talegjenkjenning	Ustawienia rozpoznawania głosu	Nastavení hlasového ovládání	Nastavenia pre rozpoznávanie hlasu	Настройки распознавания голоса	Налаштування розпізнавання голосу	Nastavitve prepoznavanja govora	Voice Recognition Settings	Voice Recognition Settings	Ρυθμίσεις φωνητικής αναγνώρισης	Ρυθμίσεις φωνητικής αναγνώρισης	Hangfelismerés beállítások	Ses tanıma ayarları	إعدادات التعرف على الصوت	वॉइस पहचान सेटिंग्स	Voice Recognition Settings	Voice Recognition Settings	Voice Recognition Settings	Voice Recognition Settings	Voice Recognition Settings	Voice Recognition Settings	Voice Recognition Settings	Voice Recognition Settings	Voice Recognition Settings	Voice Recognition Settings	Setelan Pengenalan Suara	تنظیمات شناسایی صدا	הגדרות זיהוי קול
MMI-0391	안내 음성 최소화	Minimize Voice Guidance	Minimizar indicaciones verbales.	Minimiser le guidage vocal	Minimizar a Orientação por voz	最小化提示音	音声認識時の音声案内消音	Minimise voice guidance	Minimise voice guidance																																					
MMI-0392	디지털 액자	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame	Digital Picture Frame
MMI-0393	대기 화면 이미지	Screen Saver Images	Imágenes de protector de pantalla	Images de l'économiseur d'écran	Imagens do protetor de tela	屏保图片	待機画面の画像	Screensaver images	Screensaver images																																					
