ID	KOR	ENG_US	MSPA	CFRE	BPO	SC_CHI	JPN	ENG_AU	ENG_UK	GER	FRE	ITA	SPA	POR	ROM	DUT	DAN	SWE	NOR	POL	CZE	SLK	RUS	UKR	SLN	CRO	BUL	GRE	FIN	HUN	TUR	ARA	PER	HEB	Ins	Hindi	Bengali	Marathi	Telugu	Tamil	Gujarati	Kannada	Odia	Malayalam	Punjabi
MMI-0189	블루라이트	Blue Light Filter	Filtro de luz azul	Filtre de lumière bleue	Filtro de luz azul	蓝光	ブルーライト	Blue light	Blue light	Blaulicht	Lumière bleue	Luce blu	Luz azul	Luz azul		Blauw licht	Blåt lys	Blått ljus	Blått lys	Światło niebieskie	Modré světlo	Modré svetlo	Синий свет						Sinivalo	Kék fény	Mavi ışık	الضوء الأزرق	نور آبی	אור כחול	Filter Cahaya Biru	नीला प्रकाश									
MMI-0190	블루라이트 차단	Use Blue Light Filter	Usar filtro de luz azul	Utiliser filtre de lumière bleue	Utilizar filtro de luz azul	蓝光过滤器	ブルーライトカット	Blue light filter	Blue light filter	Blaulichtfilter	Filtre anti-lumière bleue	Filtro luce blu	Filtro de luz azul	Filtro de luz azul		Blauw-lichtfilter	Filter for blåt lys	Blåljusfilter	Filter for blått lys	Filtr światła niebieskiego	Filtr modrého světla	Filter modrého svetla	Фильтр синего цвета						Sinivalosuodatin	Kékfény-szűrő	Mavi ışık filtresi	فلتر الضوء الأزرق	فیلتر نور آبی	מסנן אור כחול	Gunakan Filter Cahaya Biru	नीला प्रकाश फ़िल्टर									
MMI-0191	블루투스	Bluetooth	Bluetooth	Bluetooth	Bluetooth	蓝牙	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth		Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth	Bluetooth						Bluetooth	Bluetooth	Bluetooth	البلوتوث	بلوتوث	Bluetooth	Bluetooth	ब्लूटूथ									
MMI-0192	블루투스 기기 연동	Link Bluetooth Devices	Asociar dispositivos Bluetooth	Associer appareils Bluetooth	Vincular dispositivos Blutooth	连接蓝牙设备	Bluetoothデバイス連動	Connect Bluetooth devices	Connect Bluetooth devices	<N/A>	Associer appareils Bluetooth	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	اتصال الأجهزة التي تعمل بتقنية البلوتوث	<N/A>	<N/A>	Tautkan Perangkat Bluetooth	<N/A>									
MMI-0193	블루투스 설정	Bluetooth Settings	Ajustes de Bluetooth	Réglages Bluetooth	Ajustes Bluetooth	蓝牙设置	Bluetooth設定	Bluetooth settings	Bluetooth settings	Bluetooth-Einstellungen	Paramètres Bluetooth	Impostazioni Bluetooth	Ajustes de Bluetooth	Definições de Bluetooth		Bluetooth-instellingen	Bluetooth-indstillinger	Bluetooth-inställningar	Bluetooth-innstillinger	Ustawienia Bluetooth	Nastavení Bluetooth	Nastavenia Bluetooth	Настройки Bluetooth						Bluetooth-asetukset	Bluetooth-beállítások	Bluetooth ayarları	ما من أجهزة مقترنة	تنظیمات بلوتوث	הגדרות בלוטוס	Setelan Bluetooth	ब्लूटूथ सेटिंग्स									
MMI-0194	블루투스 연결	Bluetooth Connections	Conexiones de Bluetooth	Connexions Bluetooth	Conexões Bluetooth	蓝牙连接	Bluetooth接続	Bluetooth connections	Bluetooth connections	Bluetooth Verbindungen	Connexions Bluetooth	Connessioni Bluetooth	Conexiones Bluetooth	Ligação de Bluetooth		Bluetooth-verbindingen	Bluetooth-forbindelser	Bluetooth-anslutningar	Bluetooth-tilkoblinger	Połączenia Bluetooth	Zařízení připojená přes Bluetooth	Pripojenia Blueetooth	Подключения Bluetooth						Bluetooth-yhteydet	Bluetooth-kapcsolatok	Bluetooth bağlantıları	اتصال البلوتوث	تنظیمات اتصال	חיבורי Bluetooth	Koneksi Bluetooth	ब्लूटूथ कनेक्शंस									
MMI-0195	블루투스 초기화	Reset	Restaurar	Réinitialiser	Restaurar	初始化	Bluetoothリセット	Reset	Reset	Zurücksetzen	Réinitialiser	Ripristino	Restablecer	Repor		Reset	Nulstil	Återställ	Tilbakestill	Zerowanie	Resetovat	Resetovať	Сброс						Nollaa	Visszaállítás	Sıfırla	إعادة الضبط	بازنشانی	הגדרות יצרן	Reset	रीसेट करें									
MMI-0196	서비스 가입	Activate Blue Link	Activar Blue Link	Activer Blue Link	Ativar Blue Link	激活 Blue Link	サービス加入	Activate Blue Link	Activate Blue Link	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)		N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)						N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	<N/A>	Blue Link सक्रिय करें									
MMI-0197	비밀번호	Password	Contraseña	Mot de passe	Senha	密码	パスワード	Password	Password	Passwort	Mot de passe	Password	Contraseña	Palavra-passe		Wachtwoord	Adgangskode	Nätverksnyckel	Passord	Hasło	Heslo	Heslo	Пароль						Salasana	Jelszó	Kod	كلمة السر	N/A(NA Only)	סיסמה	<N/A>	पासवर्ड									
MMI-0198	비프음	Beep	Bip	Bip	Bipe	按键音	ビープ音	Beep	Beep	Tastentöne	Bip	Bip	Tono tecla	Bipe		Pieptoon	Tastaturlyd	Pipljud	Pip	Dźwięki klawiszy	Pípnutí	Zvuky kláves.	Звук.сигнал						Painikeäänet	Sípolás	Tuş sesleri	الصفير	بوق	צפצוף	Bip	बीप									
MMI-0199	빠른 업데이트	Quick Update	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>									
MMI-0200	사용자 계정 초기화	Reset User Account	Reiniciar perfil de usuario	Réinitialiser profil de l’utilisateur	Restaurar perfil do usuário	重置用户帐户	ユーザーアカウントリセット	Reset user account	Reset user account	<N/A>	Réinitialiser profil de l’utilisateur	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	إعادة ضبط حساب المستخدم	<N/A>	<N/A>	Reset Akun Pengguna	<N/A>									
MMI-0201	사용자 데이터	My Data	Mis datos	Mes données	Meus dados	我的数据	ユーザーデータ	My data	My data	Meine Daten	Mes données	Dati personali	Mis datos	Meus dados		Mijn gegevens	Mine data	Mina data	Mine data	Moje dane	Moje data	Moje dáta	Мои данные						Omat tiedot	Saját adatok	Verilerim	بياناتي	اطلاعات من	הנתונים שלי	Data Saya	मेरा डेटा									
MMI-0202	사용자 데이터	User Data	Datos de usuario	Données d’utilisateur	Dados do usuário	<N/A>	ユーザーデータ	User Data	User Data	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>									
MMI-0203	사용자 버튼 ☆	Custom Button ☆	Botón personalizado ☆	Touche personnalisée ☆	Botão personalizado ☆	自定义按钮 ☆	ユーザーボタン☆	Custombutton ☆	Custom button ☆	Benutzerdefi-nierte Taste ☆	Bouton Personnalisé ☆	Tasto personalizzato ☆	Botón personalizado ☆	Botão personalizado ☆		Aangepaste knop ☆	Brugerdef. knap ☆	Anpassad knapp ☆	Egendefinert knapp ☆	Przycisk niestand. ☆	Definovatelné tlačítko ☆	Vlastné tlačidlo ☆	Настраиваемая кнопка ☆						Mukautettava painike ☆	Egyéni gomb ☆	Bireysel düğme ☆	زر التعديل ☆	دکمه سفارشی ☆	לחצן משותף ☆	Tombol Kustom ☆	कस्टम बटन ☆									
MMI-0204	사용자 변경	Change User	Cambiar usuario	Changer d'utilisateur	Alterar usuário	变更用户	ユーザー変更	Change user	Change user	<N/A>	Changer d'utilisateur	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	تغيير المستخدم	<N/A>	<N/A>	Ubah Pengguna	<N/A>									
MMI-0205	사용자 설정	Scheduled Time	Según horario	Heure programmée	Horário programado	自定义时间	ユーザー設定	Scheduled Time	Scheduled Time	Zeitplan	Heure programmée	Ora pianificata	Horario programado	Hora agendada		Geplande tijd	Planlagt tidspunkt	Schemalagd tidpunkt	Planlagt tidspunkt	Zaplanowany czas	Naplánovaný čas	Naplánovaná doba	Запланированное время						Aikataulun mukainen aika	Ütemezett idő	Planlanan Saat	الوقت المخصص	زمان برنامه‌ریزی شده	זמן מתוכנן	Waktu Terjadwal	शेड्यूल किया गया समय									
MMI-0206	사용자 지정 자동 축척	Auto Scale Setting	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>	Auto scale setting	<N/A>	Réglage échelle auto	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	خريطة إعادة التمركز التلقائي	تنظیم خودکار مقیاس	<N/A>	<N/A>	<N/A>									
MMI-0207	사용자 프로필	User Profile	Perfil de usuario	Profil d’utilisateur	Perfil do usuário	用户档案	ユーザープロフィール	User profile	User profile	<N/A>	Profil d’utilisateur	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	صفحة تعريف المستخدم	<N/A>	<N/A>	Profil Pengguna	<N/A>									
MMI-0208	사운드	Sound	Sonido	Son	Som	声音	サウンド	Sound	Sound	Audio	Son	Suono	Sonido	Som		Audio	Lyd	Ljud	Lyd	Dźwięk	Zvuk	Audio	Звук						Ääni	Hang	Ses	الصوت	صدا	שמע	Sonido	ध्वनि									
MMI-0209	사운드 무드 램프	Sound Mood Lamp	Ambiente sonoro	Ambiance sonore	Luz de som ambiente	音乐氛围灯	サウンドムードランプ	Sound mood lamp	Sound mood lamp	Sound-Mood	Ambiance sonore	Musica d'atmosfera	Lámpara de ambiente	Luz sonora		Sound-mood	Ambientelys m. lyd	Ljudstämning	Lydstemningslampe	Lampka Sound Mood	Světelné efekty	Svetlo podľa zvuku	Декоратив. свет/звук						Musiikkivalaistus	Hangulatvilágítás	Ses modu	الإنارة حسب وقع الصوت	تغییر چراغ حالت بر اساس صدا	אווירת צליל	Lampu Mood Suara	ध्वनि मूड लैंप									
MMI-0210	사운드 설정	Sound Settings	Ajustes de sonido	Réglages du son	Configurações de som	声音设置	サウンド設定	Sound settings	Sound settings	Audioeinstellungen	Paramètres audio	Impostazioni audio	Ajustes de sonido	Definições de som		Audio-instellingen	Indstillinger for lyd	Ljudinställningar	Lydinnstillinger	Ustawienia dźwięku	Nastavení zvuku	Audio nastavenia	Настройки звука						Ääniasetukset	Hangbeállítások	Ses ayarları	إعدادات الصوت	تنظیمات صدا	הגדרות שמע	Setelan Suara	ध्वनि सेटिंग्स									
MMI-0211	삭제	Delete	Eliminar	Supprimer	Apagar	删除	削除	Delete	Delete	Entfernen	Supprimer	Elimina	Eliminar	Excluir		Wissen	Slet	Ta bort	Slett	Usuń	Odstranit	Odstrániť	Удалить						Poista	Törlés	Sil	حذف	حذف	מחיקה	Hapus	हटाएं									
MMI-0212	상세	Advanced	Avanzado	Avancée	Avançado	高级	詳細	Advanced	Advanced	Erweitert	Avancé	Avanzate	Avanzado	Avançado		Geavanceerd	Avanceret	Avancerat	Avansert	Zaawans.	Rozšířená	Pokročilé	Расширенные						Lisäasetukset	Speciális	Genişletilmiş	متقدم	تنظیمات کاربر	מתקדם	Lanjutan	उन्नत सेटिंग									
MMI-0213	상세 정보	Info	Inf.	Info	Info	详细信息	詳細	Info	Info	Info	Infos	Info	Info	Info		Info	Info	Info	Info	Info	Informace	Info	Инфо						Tietoja	Információ	Bilgi	المعلومات	اطلاعات	מידע	Detail	जानकारी									
MMI-0214	서라운드 뷰 모니터 자동 켜짐	Surround View Monitor Auto On	Encend. autom. monitor vista circundante	Activation autom. moniteur vue panoram.	Monitor de vista 360 automático ligado	环绕检测器自动开启	サラウンドビューモニター自動オン	Surround view monitor auto On	Surround view monitor auto On	Surround View Monitor automatisch Ein	Monit. pan. aut. activé	Attivazione automatica Surround View Monitor	Monitor con vista de 360°automático activado	Ativação auto. monitor visão circundante		Surround View-monitor automatisch aan	Surround View-skærm automatisk slået til	Monitor för omgivningsvy automatiskt på	Omgivelsesvisning autom. på	Automatyczne wł. wyświetlacza widoku otoczenia	Monitor pro sledování okolí automaticky zapnut	Monit. sys. pohľadu naokolo autom. zap.	Автовключение системы кругового обзора						Ympäristönäkymämonitorin autom. käynn.	Környezetfigyelő automatikusan bekapcsolva	Çevre görüşü monitörü otomatik Açık	تشغيل تلقائي لشاشة الرؤية المحيطية	مانیتور نمای اطراف خودکار روشن	הפעלה אוטומטית של תצוגה היקפית	Monitor Surround View Otomatis Hidup	परिवेशी दृश्य मॉनिटर स्वतः चालू									
MMI-0215	서비스 가입	Activate UVO	Activar UVO	Activer UVO	Ativar UVO	激活 UVO	サービス加入	Activate UVO	Activate UVO	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)		N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)						N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	N/A(KO/NA/CA/CH Only)	Aktifkan UVO	UVO सक्रिय करें									
MMI-0216	서비스 네트워크 찾기	Nearby Service Center	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)		N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)		N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)						N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)									
MMI-0217	서비스 시기 알림	Service Interval	Intervalo de servicio	Intervalle entretien	Intervalo de manutenção	保养	サービス時期通知	Service interval	Service interval	Serviceintervall	Intervalle maintenance	Intervallo manutenzione	Intervalo servicio	Intervalo de manutenção		Volgend onderhoud	Serviceinterval	Serviceintervall	Serviceintervall	Częstotliwość przeglądów	Servisní interval	Servisný interval	Интервал обслуж.						Huoltoväli	Szervizintervallum	Bakım aralığı	فترة الصيانة الدورية	فاصله بین سرویس‌ها	מרווח שירות	Interval Servis	सर्विस अंतराल									
MMI-0218	서비스 시기 알림 사용	Enable Service Interval	Habilitar intervalo de servicio	Activer l'intervalle d'entretien	Habilitar intervalo de manutenção	启用保养	サービス時期通知オン	Enable service interval	Enable service interval	Serviceinterv. aktivieren	Intervalle maintenance	Attiva intervallo manut.	Activar intervalo de servicio	Ativar interv. manutenção		Volgend onderhoud aan	Aktiver serviceinterval	Aktivera serviceintervall	Aktiver vedlikeholdsintervall	Aktywny przegląd serwisowy	Aktivace upoz. na servis	Aktivovať servis. interval	Вкл. интервал обслужив-я						Ota huoltoväli käyttöön	Szervizint. bekapcsolása	Bakım aralığını etkinleştir	تشغيل عداد فترة الصيانة الدورية	فعال کردن فاصله بین سرویس‌ها	הפעל מרווח שירות	Aktifkan Interval Servis	सर्विस अंतराल सक्रिय करें									
MMI-0219	서비스 제공사	Service Provider	Proveedor de servicio	Fournisseur de services	Prestador de serviços	服务供应商		Service provider	Service provider	Serviceanbieter	Opérateur de services	Fornitore di servizi	Proveedor de servicios	Provedor de serviços		Service provider	Serviceudbyder	Tjänsteleverantör	Leverandør	Dostawca usługi	Operátor	Poskytovateľ služieb	Провайдер услуг						Palveluntarjoaja	Szolgáltató	Servis sağlayıcı	شركة الخدمات	N/A (KO/CH Only)	N/A (KO/CH Only)	<N/A>	N/A (KO/CH Only)									
MMI-0220	서스펜션	Suspension	Suspensión	Suspension	Suspensão	悬挂	サスペンション	Suspension	Suspension	Radaufhängung	Suspension	Sospensione	Suspensión	Suporte de pneu		Ophanging	Affjedring	Fjädring	Fjæring	Zawieszenie	Odpružení	Zavesenie kolies	Подвеска						Pyöräntuenta	Kerékfelfüggesztés	Süspansiyon	التعليق	تعلیق	מתלים	Suspensi	सस्पेंशन									
MMI-0221	설정	Setup	Configuración	Configuration	Ajustes	设置	設定	Settings	Settings	Einstellungen	Paramètres	Impostazioni	Ajustes	Definições		Instellingen	Indstillinger	Inställningar	Innstillinger	Ustawienia	Nastavení	Nastavenia	Настройки						Asetukset	Beállítások	Ayarlar	الإعدادات	تنظیمات	הגדרות	Penyiapan	सेटिंग्स									
MMI-0222	설정 검색	Search for Settings	Buscar ajustes	Rechercher des paramètres	Pesquisar configurações	搜索设置	設定検索	Search for settings	Search for settings	Nach Einstellungen suchen	Rechercher des paramètres	Cerca impostazioni	Buscar por ajustes	Pesquisar definições		Instellingen zoeken	Søg efter indstillinger	Sök efter inställningar	Søk etter innstillinger	Wyszukaj ustawienia	Vyhledat nastavení	Vyhľadať nastavenia	Поиск настроек						Hae asetuksia	Beállítások keresése	Ayarları Ara	البحث عن الإعدادات	جستجوی تنظیمات	חיפוש הגדרות	Cari Setelan	खोज सेटिंग्स									
MMI-0223	속도 오프셋 설정	Speed Limit Offset	Margen límite de velocidad	Marge limite de vitesse	Margem limite de velocidade	限速范围设置	速度オフセット設定	Speed limit offset	Speed limit offset	Änderung der Geschwindigkeitsbegrenzung	Tolérance de la limitation de la vitesse	Offset limiti di velocità	Margen de tolerancia para el límite de velocidad	Tolerância no limite de velocidade		Afwijking snelheidslimiet	Hastighedsbegrænsningshjælp	Förskjutning av hastighetsbegränsning	Fartsgrenseavvik	Kompensacja ograniczenia prędkości	Odchylka rychlostních limitů	Odsadenie obmedzenia maximálnej rýchlosti	Сдвиг ограничения скорости						Nopeusrajoituksen poikkeama	Sebességkorlátozástól való eltérés	Hız sınırı ofseti	التسامح في سرعة القيادة	انحراف از حد مجاز سرعت	קיזוז מגבלת מהירות	Selisih Batas Kecepatan	गति सीमा ऑफ़सेट									
MMI-0224	속도 제한	Speed Limit	Límite de velocidad	Limite de vitesse	Limite de velocidade	限速	制限速度	Speed limit	Speed limit	Tempolimit	Limitation de vitesse	Limite di velocità	Límite de velocidad	Limite de velocidade		Snelheidslimiet	Hastighedsbegrænsning	Hastighetsgräns	Fartsgrense	Ograniczenie prędkości	Rychlostní limit	Rýchlostný limit	Ограничение скорости						Nopeusrajoitus	Sebességkorlátozás	Hız Limiti	حدود السرعة المسموحة	محدودیت سرعت	מגבלת מהירות	Batas Kecepatan	गति सीमा									
MMI-0225	속도 제한 경고	Speed Limit Warning	Advertencia de límite de velocidad	Affichage de la limite de vitesse	Alerta de limite de velocidade	限速提示	最高制限速度警告	SLW (Speed Limit Warning)	Speed limit warning	Visualizzazione limiti di velocità	Affichage de la limitation de vitesse en vigueur	Visualización del límite de velocidad	Aviso de límite de velocidad	Aviso de limite de velocidade		Отображение ограничения скорости	Fartgrænsevisning	Visning av hastighetsgräns	Zobrazenie rýchlostného obmedzenia	Visning av hastighetsgräns	Zobrazení maximální rychlosti	Zobrazenie rýchlostného obmedzenia	Отображение ограничения скорости						Nopeusrajan varoitus	Sebességkorlátozás megjelenítése	Hız sınırı gösterimi	التنبيه بالسرعة القصوى	هشدار سرعت محدود	צג מגבלת מהירות	Peringatan Batas Kecepatan	गति सीमा की चेतावनी									
MMI-0226	속도 제한 보조	Speed Limit Assist	Asistencia de límite de velocidad	Aide de limitation de vitesse	Assistência de Limite de Velocidade	限速辅助系统	制限速度支援	Speed limit assist	Speed limit assist	Geschwindigkeitsbegrenzungsassistent	Aide au respect de la limitation de vitesse	Assistente limite di velocità	Asistente de limitación de velocidad	Assistência de limite de velocidade		Assistentie snelheidslimiet	Hastighedsbegrænsningshjælp	Assistans för hastighetsbegränsning	Fartsgrenseassistanse	Asystent ograniczenia prędkości	Asistent rychlostního limitu	Asistent pre obmedzenie rýchlosti	Помощь в соблюдении скоростных ограничений						Nopeusrajoituksen avustin	Sebességkorlátozási segéd	Hız sınırı yardımı	المساعد على الالتزام بحدود السرعة	دستیار حد مجاز سرعت	מסייע מגבלת מהירות	Bantuan Batas Kecepatan	गति सीमा सहायता									
MMI-0227	속도계	Speedometer	Velocímetro	Indicateur de vitesse	Velocímetro	车速表	速度メーター	Speedometer display	Speedometer display	Tachometeranzeige	Tachomètre	Tachimetro	Indicador de velocidad	Velocímetro		Snelheidsmeterscherm	Speedometerdisplay	Hastighetsmätare	Fartsmåler	Prędkościomierz	Zobrazování tachoměru	Tachometer	Дисплей спидометра						Nopeusmittarin näyttö	Sebességmérő	Hızölçer ekranı	عداد السرعة	نمایشگر سرعت‌سنج	צג מד מהירות	Speedometer	स्पीडोमीटर प्रदर्शन									
MMI-0228	솔라 루프 정보	Solar Roof Info	Inf. de techo solar	Info. toit solaire	Inf. do painel solar	太阳能车顶信息	ソーラールーフ情報	Solar roof info	Solar roof info	Sonnendachinfo	Informations sur le toit solaire	Informazioni sul tettuccio solare	Información sobre el techo solar	Informações do tejadilho solar		Informatie zonnepaneeldak	Oplysninger om soltag	Info om sollucka	Informasjon om soltak	Informacja o dachu słonecznym	Informace o solární střeše	Informácie o solárnej streche	Сведения о солнечной крыше						Aurinkopaneelikaton tiedot	Napelemes tető információi	Güneş enerjili tavan bilgileri	معلومات حول سقف الطاقة الشمسية	اطلاعات سقف خورشیدی	פרטי גג סולרי	<N/A>	सोलर रूफ़ की जानकारी									
MMI-0229	수신	Accept	Aceptar	Accepter	Aceitar	接听	着信	Accept	Accept	Annehmen	Accepter	Accetta	Aceptar	Aceitar		Accepteren	Accepter	Acceptera	Godta	Odbierz	Přijmout	Prijať	Принять						Hyväksy	Elfogadás	Kabul et	أوافق	پذیرفتن	קבל	Terima	स्वीकार करें									
MMI-0230	스마트 열선/통풍	Heated/Ventilated Features	Ventilación/calefacción	Fonction chauffage/ventilation	Ventilação/aquecimento	加热/通风功能	スマートヒーター/クーラー	Heating/Ventilation	Heating/Ventilation	Heizung/Lüftung	Chauffage/Ventilation	Riscaldamento/Ventilazione	Calefacción/Ventilación	Aquecimento/ventilação		Verwarming/ventilatie	Varme/ventilation	Uppvärmning/ventilation	Varme/ventilasjon	Podgrzewanie/wentylacja	Topení/ventilace	Vyhrievanie/ventilácia	Подогрев/вентиляция						Lämmitys/tuuletus	Fűtés/szellőztetés	Isıtma/Havalandırma	التدفئة/ التهوئة	ویژگی‌های تهویه/گرم‌کن	חימום/אוורור	Fitur Pemanas/Ventilasi	गरम/वेंटिलेटेड सुविधाएं									
MMI-0231	스마트 자세 제어	Smart Posture Care	Cuidado inteligente de postura	Soins de posture intelligente	Cuidado inteligente da postura	智能姿势调整	スマート姿勢制御	Smart posture caring	Smart posture caring	Intelligente Sitzeinstellung	Système intelligent de réglage du siège	Regolazione intelligente della postura	Cuidado de postura inteligente	Postura inteligente		Slimme stoelverstelling	Intell. siddestillingsass.	Smart säteinställning	Sittestillingsassistanse	Inteligentny system ustawienia foteli	Inteligentní péče o držení těla	Inteligentné nastavenie sedadla	Smart Posture (позиция сидения)						Älykäs istuimen säätötoiminto	Intelligens ülésbeállítás	Akıllı pozisyon önerisi	نظام ضبط الوضعية الذكي	مراقب هوشمند وضعیت نشستن	טיפול תנוחה חכם		स्मार्ट पोस्चर केरिंग									
MMI-0232	스마트 크루즈 응답성	SCC Reaction	Reacción del SCC	Réaction du SCC	Reação do piloto automático (SSC)	智能巡航系统反应	スマートクルーズの応答性	SCC respsonse	SCC response	SCC Ansprechverhalten	Réponse SCC (régul. vitesse)	Risposta SCC	Respuesta SCC	Resposta do SCC		SCC-reactiesnelheid	SCC reaktion	SCC-svar	SCC respons	Odpowiedź int. tempomatu	Odezva intelig. tempomatu	Reakcia intelig. tempomatu	Отклик (SCC) "Инт. круиз-к."						SCC:n reagointiherkkyys	SCC reakcióidő	SCC (Akıllı Hız Sab.) yanıtlama	استجابة التحكم الذكي في ثبات السرعة	واکنش SCC	רמת ההיענות של בקרת השיוט אדפטיבית  (SCC)		SCC प्रतिक्रिया									
MMI-0233	스마트 크루즈 컨트롤	Smart Cruise Control	Control de crucero inteligente	Régulateur de vitesse intelligent	Piloto automático inteligente (SCC)	智能巡航控制	スマートクルーズコントロール	SCC (Smart Cruise Control)	SCC (Smart Cruise Control)	SCC (Smart Cruise Control)	SCC (régulateur vitesse intelligent)	SCC (Cruise control intelligente)	SCC (control inteligente de velocidad)	SCC (controlo de velocidade inteligente)		SCC (Smart Cruise Control)	SCC (Smart Cruise Control)	SCC (Smart farthållare)	SCC (Smart Cruise Control)	SCC (inteligentny tempomat)	SCC (inteligentní tempomat)	SCC (inteligentný tempomat)	SCC (Интелл. круиз-контроль)						SCC (Smart Cruise Control)	SCC (Intelligens sebességtartó automata)	SCC (Akıllı Hız Sabitleyici)	نظام التطواف الذكي	کروز کنترل هوشمند	בקרת שיוט חכמה		स्मार्ट क्रूस नियंत्रण									
MMI-0234	스마트 테일게이트	Smart Liftgate	Puerta trasera de elevación inteligente	Hayon intelligent	Porta traseira inteligente	智能尾门	スマートテールゲート	Smart Tailgate	Smart tailgate	Smart Key Heckklappe	Hayon intelligent	Apertura automatica portellone	Portón trasero inteligente	Porta traseira inteligente		Smart achterklep	Smart bagklap	Smart öppning av bakluckan	Smart bakluke	Int. tylna klapa	Intel. páté dveře	Inteligentné piate dvere	Автом. откр. бaгaжн.						Älykäs takaluukku	Okos csomagtérajtó	Akıllı Bagaj Kapağı	باب الصندوق الذكي	درب صندوق عقب هوشمند	דלת אחורית חכמה		स्मार्ट टेलगेट									
MMI-0235	스마트 트렁크	Smart Trunk	Baúl inteligente	Coffre intelligent	Porta-malas inteligente	智能行李箱	スマートトランク	Smart trunk	Smart trunk	Intelligente Heckklape	Coffre intelligent	Apertura automatica bagagliaio	Maletero inteligente	Bagageira mãos-livres		Handenvrije kofferklep	Smart bagagerum	Smart öppning av bakluckan	Smart bakluke	Samoczynne otwieranie bagażnika	Chytré ovládání zav. prostoru	Inteligentné otváranie batožinového priestoru	Smart Key (автом. откр. багаж.)						Älykäs takaluukku	Okos csomagtartó	Akıllı bagaj kapısı	صندوق السيارة الذكي	درب صندوق عقب هوشمند	דלת אחורית חכמה		स्मार्ट टेलगेट									
